id,titulo,ubicacion,tipo,categoria,precio_texto,status,created_at
101,"EJEMPLO","LEON","Dúplex","venta","$4,500,000","Exclusiva","2026-07-26T08:25:47.776936+00:00"
102,"Penthouse","moral","Departamento","exclusivo","$3,490,000","Disponible","2026-07-28T00:42:35.386694+00:00"
103,"Casa de una planta y departamento con entrada independiente","Avenida palenque #304, int. 14","Residencia","venta","$5,600,000","Disponible","2026-07-29T17:21:08.002521+00:00"
104,"Departamento con terraza y vista a área verde","Residencial Grand Valbuena","Departamento","venta","$5,098,000","Disponible","2026-07-29T17:32:18.331442+00:00"
105,"Departamento con vista a área verde y terraza","Residencial Grand Valbuena","Departamento","venta","$5,268,000","Disponible","2026-07-29T17:40:50.761059+00:00"
106,"Casa en PRVENTA, ¡Se el primero en estrenar!","Residencial Villa Valvuena","Casa en condominio","venta","$2,985,960","Disponible","2026-07-29T17:51:08.484119+00:00"
107,"Recinto para uso multiple comercial con áreas verdes","Carretera a Juventino Rosas","Salón de eventos","venta","$22,000,000","Disponible","2026-07-29T18:02:22.316016+00:00"
108,"Departamento con vista a parque metropolitano","Torre UNA BAY","Departamento","venta","$6,046,986","Disponible","2026-07-29T18:17:12.321415+00:00"
109,"Casa en fraccionamiento privado","Valle del Gigante","Casa en condominio","venta","$1,140,000","Disponible","2026-07-29T18:36:53.593806+00:00"
110,"CASA DE LUJO EN VENTA ","Cumbres del campestre ","Casa","venta","$38,000,000","Disponible","2026-08-02T01:27:19.518164+00:00"
111,"Casa en venta con acabados modernos","Valles del Molino B","Casa en condominio","venta","$5,600,000","Disponible","2026-08-02T05:33:46.566711+00:00"
112,"Casa en renta amueblada o sin amueblar con Jacuzzi ","La campiña del bosque ","Casa en condominio","renta","$45,000","Disponible","2026-08-02T05:50:02.429465+00:00"
113,"Hermoso Loft en renta","Torre Punta mayor ","Loft","renta","$15,800","Disponible","2026-08-02T05:58:49.208844+00:00"
114,"Hermosa casa en venta con jardín y árboles frutales","Gran jardín ","Casa en condominio","venta","$6,500,000","Disponible","2026-08-02T06:07:25.574119+00:00"
115,"Local comercial en venta en Hotel","Dentro de hotel Hotsson ","Local comercial","venta","$1,590,000","Disponible","2026-08-02T06:21:31.334192+00:00"
116,"Penthouse en venta con hermosas vistas ","La campiña del bosque ","Penthouse","venta","$5,290,000","Disponible","2026-08-02T06:48:50.107736+00:00"
117,"Casa amplia en renta con jardín privado ","El Molino Residencial ","Casa en condominio","renta","$35,000","Disponible","2026-08-02T07:06:03.007685+00:00"
118,"Casa amplia con estancias amplias, terraza y jardín ","Lomas de gran jardín ","Casa en condominio","venta","$9,200,000","Disponible","2026-08-02T07:19:25.268486+00:00"
119,"Cada en venta con estancias amplias y jardín privado","Punta del Este 2","Casa","venta","$5,000,000","Disponible","2026-08-02T07:33:17.122917+00:00"
120,"Casa en venta con amplias estancias y hermoso jardín privado","Gran jardín ","Casa en condominio","venta","$6,000,000","Disponible","2026-08-02T17:01:09.693542+00:00"
121,"Hermosa casa en venta con jardín privado y estancias amplias ","Gran jardín ","Casa en condominio","venta","$10,800,000","Disponible","2026-08-02T18:43:36.716388+00:00"
